French	English	Spanish
Camille	Camille	Camille
Passerelles en Physique	Bridges in Physics	Puentes en Física
monde quantique	quantum world	mundo cuántico
physique	physics	física
Luc	Luc	Luc
physicienne théoricienne	theoretical physicist (female)	física teórica
physicien expérimentateur	experimental physicist	físico experimental
particules	particles	partículas
électrons	electrons	electrones
ondes	waves	ondas
espace	space	espacio
physiciens	physicists	físicos
fonction d'onde	wave function	función de onda
psi	psi	psi
onde de matière	matter wave	onda de materia
onde de possibilités	wave of possibilities	onda de posibilidades
probabilité	probability	probabilidad
carré	square	cuadrado
amplitude	amplitude	amplitud
psi au carré	psi squared	psi al cuadrado
règle de Born	Born rule	regla de Born
mécanique quantique	quantum mechanics	mecánica cuántica
expérience des fentes de Young	Young's double-slit experiment	experimento de las rendijas de Young
électron	electron	electrón
particule	particle	partícula
figure d'interférence	interference pattern	figura de interferencia
distribution	distribution	distribución
loi en psi au carré	psi-squared law	ley de psi al cuadrado
probabilité directe	direct probability	probabilidad directa
conservation	conservation	conservación
probabilité totale	total probability	probabilidad total
univers	universe	universo
forme psi au carré	psi-squared form	forma de psi al cuadrado
optique classique	classical optics	óptica clásica
énergie	energy	energía
onde lumineuse	light wave	onda luminosa
brillance	brightness	brillo
champ électrique	electric field	campo eléctrico
probabilité de présence	probability of presence	probabilidad de presencia
particule quantique	quantum particle	partícula cuántica
loi mathématique	mathematical law	ley matemática
largeur spatiale	spatial width	anchura espacial
onde	wave	onda
laser	laser	láser
labo	lab	laboratorio
puissance	power	potencia
faisceau	beam	haz
paramètres	parameters	parámetros
largeur	width	anchura
principe d'incertitude de Heisenberg	Heisenberg uncertainty principle	principio de incertidumbre de Heisenberg
largeur delta x	delta x width	anchura delta x
impulsion	momentum	impulso
delta p	delta p	delta p
faisceau ultra-fin	ultra-thin beam	haz ultrafino
point de focalisation	focal point	punto de focalización
phénomène de divergence	divergence phenomenon	fenómeno de divergencia
optique	optics	óptica
diffraction	diffraction	difracción
limite fondamentale	fundamental limit	límite fundamental
résolution	resolution	resolución
microscope	microscope	microscopio
limite d'Abbe	Abbe limit	límite de Abbe
lumière	light	luz
longueur d'onde	wavelength	longitud de onda
lambda	lambda	lambda
spot lumineux	light spot	punto luminoso
onde évanescente	evanescent wave	onda evanescente
lentille	lens	lente
physicien	physicist	físico
microscope à champ proche	near-field microscope	microscopio de campo cercano
NSOM	NSOM	NSOM
super-résolution	super-resolution	superresolución
fonction d'onde quantique	quantum wave function	función de onda cuántica
onde de probabilité	probability wave	onda de probabilidad
ondes classiques	classical waves	ondas clásicas
principe d'incertitude	uncertainty principle	principio de incertidumbre
réalité quantique	quantum reality	realidad cuántica
loi sur les ondes	law of waves	ley sobre las ondas
quantique	quantum	cuántico
classique	classical	clásico
amplitude au carré	amplitude squared	amplitud al cuadrado
outil de calcul	calculation tool	herramienta de cálculo
quantité physique	physical quantity	cantidad física
