English	German	Japanese	Chinese
Camille	Camille	カミーユ	卡米尔
Tech Flash	Tech-Blitz	テック・フラッシュ	科技快报
Luc	Luc	リュック	卢克
artificial intelligence	künstliche Intelligenz	人工知能	人工智能
architecture	Architektur	アーキテクチャ	架构
Transformer	Transformer	Transformer	Transformer
ChatGPT	ChatGPT	ChatGPT	ChatGPT
DALL-E	DALL-E	DALL-E	DALL-E
machine translators	maschinelle Übersetzungssysteme	機械翻訳機	机器翻译器
Attention Is All You Need	Attention Is All You Need	Attention Is All You Need	Attention Is All You Need
AI	KI	AI	AI
RNN	RNN	RNN	RNN
attention mechanism	Attention-Mechanismus	注意機構	注意力机制
attention	Attention	注意 (アテンション)	注意力
model	Modell	モデル	模型
relevance calculations	Relevanzberechnungen	関連性計算	相关性计算
parallel processing	Parallelverarbeitung	並列処理	并行处理
graphics cards	Grafikkarten	グラフィックスカード	显卡
Large Language Models	große Sprachmodelle	大規模言語モデル	大语言模型
LLMs	LLMs	LLM	LLMs
parameters	Parameter	パラメータ	参数
attentional reading	attentionales Lesen	アテンショナル・リード	注意力读取
multi-head attention	Multi-Head Attention	マルチヘッド・アテンション	多头注意力
Vision Transformers	Vision Transformers	Vision Transformer	视觉 Transformer
image recognition	Bilderkennung	画像認識	图像识别
biology	Biologie	生物学	生物学
AlphaFold	AlphaFold	AlphaFold	AlphaFold
3D structure	3D-Struktur	3次元構造	3D 结构
protein	Protein	タンパク質	蛋白质
genetic sequence	Gensequenz	遺伝子配列	基因序列
medical research	medizinische Forschung	医学研究	医学研究
drug discovery	Wirkstoffforschung	創薬	药物研发
universal grammar	Universalgrammatik	普遍文法	普遍语法
code generation	Codegenerierung	コード生成	代码生成
musical composition	musikalische Komposition	作曲	音乐创作
on-demand image creation	Bilderstellung auf Abruf	オンデマンド画像生成	按需图像生成
transfer learning	Transfer Learning	転移学習	迁移学习
base model	Basismodell	ベースモデル	基础模型
pre-trained	vortrainiert	事前学習済み	预训练
fine-tune	feinanpassen	ファインチューニング	微调
context	Kontext	コンテキスト (文脈)	上下文
parallel nature	parallele Natur	並列的な性質	并行特性
models	Modelle	モデル	模型
paradigm shift	Paradigmenwechsel	パラダイムシフト	范式转移
