af	82	examples/tr/onde/gemma4/tr/onde-af.txt	Afrikaans
ar	96	examples/tr/onde/gemma4/tr/onde-ar.txt	Arabic
az	78	examples/tr/onde/gemma4/tr/onde-az.txt	Azerbaijani
be	69	examples/tr/onde/gpt-oss/tr/onde-be.txt	Belarusian
bg	80	examples/tr/onde/gemma4/tr/onde-bg.txt	Bulgarian
bn	54	examples/tr/onde/gemma4/tr/onde-bn.txt	Bengali
ca	96	examples/tr/onde/gpt-oss/tr/onde-ca.txt	Catalan
cs	80	examples/tr/onde/gpt-oss/tr/onde-cs.txt	Czech
cy	52	examples/tr/onde/gpt-oss/tr/onde-cy.txt	Welsh
da	92	examples/tr/onde/gemma4/tr/onde-da.txt	Danish
de	94	examples/tr/onde/gemma4/tr/onde-de.txt	German
el	66	examples/tr/onde/gpt-oss/tr/onde-el.txt	Greek
eo	57	examples/tr/onde/gpt-oss/tr/onde-eo.txt	Esperanto
es	98	examples/tr/onde/gpt-oss/tr/onde-es.txt	Spanish
et	53	examples/tr/onde/gpt-oss/tr/onde-et.txt	Estonian
eu	45	examples/tr/onde/gpt-oss/tr/onde-eu.txt	Basque
fa	96	examples/tr/onde/gemma4/tr/onde-fa.txt	Persian
fi	95	examples/tr/onde/gemma4/tr/onde-fi.txt	Finnish
fr	100	examples/tr/onde/gemma4/tr/onde-fr.txt	French
ga	30	examples/tr/onde/qwen3.6/tr/onde-ga.txt	Irish
gl	89	examples/tr/onde/qwen3.6/tr/onde-gl.txt	Galician
he	89	examples/tr/onde/gemma4/tr/onde-he.txt	Hebrew
hi	75	examples/tr/onde/gemma4/tr/onde-hi.txt	Hindi
hr	89	examples/tr/onde/gemma4/tr/onde-hr.txt	Croatian
hu	83	examples/tr/onde/qwen3.6/tr/onde-hu.txt	Hungarian
hy	91	examples/tr/onde/gemma4/tr/onde-hy.txt	Armenian
ia	73	examples/tr/onde/gpt-oss/tr/onde-ia.txt	Interlingua
id	86	examples/tr/onde/gemma4/tr/onde-id.txt	Indonesian
is	45	examples/tr/onde/gpt-oss/tr/onde-is.txt	Icelandic
it	96	examples/tr/onde/qwen3.6/tr/onde-it.txt	Italian
ja	97	examples/tr/onde/gemma4/tr/onde-ja.txt	Japanese
ka	60	examples/tr/onde/gemma4/tr/onde-ka.txt	Georgian
km	54	examples/tr/onde/gemma4/tr/onde-km.txt	Khmer
kn	50	examples/tr/onde/gemma4/tr/onde-kn.txt	Kannada
ko	95	examples/tr/onde/gemma4/tr/onde-ko.txt	Korean
lo	68	examples/tr/onde/gemma4/tr/onde-lo.txt	Lao
lt	77	examples/tr/onde/qwen3.6/tr/onde-lt.txt	Lithuanian
lv	65	examples/tr/onde/qwen3.6/tr/onde-lv.txt	Latvian
mk	76	examples/tr/onde/gemma4/tr/onde-mk.txt	Macedonian
ml	54	examples/tr/onde/gpt-oss/tr/onde-ml.txt	Malayalam
mn	76	examples/tr/onde/gemma4/tr/onde-mn.txt	Mongolian
mr	67	examples/tr/onde/gemma4/tr/onde-mr.txt	Marathi
ms	86	examples/tr/onde/gemma4/tr/onde-ms.txt	Malay
my	38	examples/tr/onde/gpt-oss/tr/onde-my.txt	Burmese
ne	77	examples/tr/onde/gpt-oss/tr/onde-ne.txt	Nepali
nl	91	examples/tr/onde/qwen3.6/tr/onde-nl.txt	Dutch
no	89	examples/tr/onde/gemma4/tr/onde-no.txt	Norwegian
pl	91	examples/tr/onde/gemma4/tr/onde-pl.txt	Polish
pt	97	examples/tr/onde/qwen3.6/tr/onde-pt.txt	Portuguese
ro	92	examples/tr/onde/qwen3.6/tr/onde-ro.txt	Romanian
ru	97	examples/tr/onde/gemma4/tr/onde-ru.txt	Russian
si	33	examples/tr/onde/gpt-oss/tr/onde-si.txt	Sinhala
sk	71	examples/tr/onde/gpt-oss/tr/onde-sk.txt	Slovak
sl	73	examples/tr/onde/gpt-oss/tr/onde-sl.txt	Slovene
sq	83	examples/tr/onde/gemma4/tr/onde-sq.txt	Albanian
sr	93	examples/tr/onde/gemma4/tr/onde-sr.txt	Serbian
sv	89	examples/tr/onde/gpt-oss/tr/onde-sv.txt	Swedish
sw	82	examples/tr/onde/gemma4/tr/onde-sw.txt	Swahili
ta	43	examples/tr/onde/gemma4/tr/onde-ta.txt	Tamil
te	64	examples/tr/onde/gemma4/tr/onde-te.txt	Telugu
th	46	examples/tr/onde/gemma4/tr/onde-th.txt	Thai
tl	70	examples/tr/onde/gemma4/tr/onde-tl.txt	Tagalog
tr	91	examples/tr/onde/gemma4/tr/onde-tr.txt	Turkish
uk	93	examples/tr/onde/gemma4/tr/onde-uk.txt	Ukrainian
ur	72	examples/tr/onde/gemma4/tr/onde-ur.txt	Urdu
vi	97	examples/tr/onde/gemma4/tr/onde-vi.txt	Vietnamese
zh	96	examples/tr/onde/gemma4/tr/onde-zh.txt	Chinese
