onde-af: 80/100点
onde-ar: 75/100点
onde-az: 63/100点
onde-be: 59/100点
onde-bg: 86/100点
onde-bn: 41/100点
onde-ca: 89/100点
onde-cs: 71/100点
onde-cy: 50/100点
onde-da: 84/100点
onde-de: 74/100点
onde-el: 45/100点
onde-eo: 36/100点
onde-es: 95/100点
onde-et: 64/100点
onde-eu: 62/100点
onde-fa: 86/100点
onde-fi: 56/100点
onde-fr: 85/100点
onde-ga: 43/100点
onde-gl: 82/100点
onde-he: 65/100点
onde-hi: 38/100点
onde-hr: 75/100点
onde-hu: 71/100点
onde-hy: 73/100点
onde-ia: 27/100点
onde-id: 67/100点
onde-is: 51/100点
onde-it: 95/100点
onde-ja: 92/100点
onde-ka: 57/100点
onde-km: 16/100点
onde-kn: 35/100点
onde-ko: 82/100点
onde-lo: 32/100点
onde-lt: 79/100点
onde-lv: 53/100点
onde-mk: 89/100点
onde-ml: 34/100点
onde-mn: 60/100点
onde-mr: 35/100点
onde-ms: 76/100点
onde-my: 17/100点
onde-ne: 34/100点
onde-nl: 89/100点
onde-no: 63/100点
onde-pl: 89/100点
onde-pt: 96/100点
onde-ro: 76/100点
onde-ru: 48/100点
onde-si: 23/100点
onde-sk: 78/100点
onde-sl: 71/100点
onde-sq: 43/100点
onde-sr: 72/100点
onde-sv: 74/100点
onde-sw: 62/100点
onde-ta: 40/100点
onde-te: 42/100点
onde-th: 39/100点
onde-tl: 50/100点
onde-tr: 85/100点
onde-uk: 78/100点
onde-ur: 82/100点
onde-vi: 93/100点
onde-zh: 91/100点
