onde-af: 54/100点
onde-ar: 91/100点
onde-az: 71/100点
onde-be: 34/100点
onde-bg: 92/100点
onde-bn: 64/100点
onde-ca: 60/100点
onde-cs: 74/100点
onde-cy: 15/100点
onde-da: 96/100点
onde-de: 95/100点
onde-el: 73/100点
onde-eo: 40/100点
onde-es: 91/100点
onde-et: 11/100点
onde-eu: 21/100点
onde-fa: 90/100点
onde-fi: 87/100点
onde-fr: 98/100点
onde-ga: 16/100点
onde-gl: 92/100点
onde-he: 90/100点
onde-hi: 91/100点
onde-hr: 87/100点
onde-hu: 43/100点
onde-hy: 34/100点
onde-ia: 19/100点
onde-id: 94/100点
onde-is: 33/100点
onde-it: 95/100点
onde-ja: 97/100点
onde-ka: 12/100点
onde-km: 17/100点
onde-kn: 38/100点
onde-ko: 94/100点
onde-lo: 24/100点
onde-lt: 24/100点
onde-lv: 33/100点
onde-mk: 59/100点
onde-ml: 17/100点
onde-mn: 31/100点
onde-mr: 75/100点
onde-ms: 77/100点
onde-my: 32/100点
onde-ne: 83/100点
onde-nl: 94/100点
onde-no: 94/100点
onde-pl: 84/100点
onde-pt: 97/100点
onde-ro: 93/100点
onde-ru: 96/100点
onde-si: 32/100点
onde-sk: 53/100点
onde-sl: 32/100点
onde-sq: 79/100点
onde-sr: 89/100点
onde-sv: 97/100点
onde-sw: 70/100点
onde-ta: 91/100点
onde-te: 88/100点
onde-th: 95/100点
onde-tl: 61/100点
onde-tr: 97/100点
onde-uk: 96/100点
onde-ur: 75/100点
onde-vi: 94/100点
onde-zh: 97/100点
